Project;Auditor;Date;Language;Security Level;Status;Vulnerability details;Type;Subtype
hTON (Hipo staking protocol);ProgramCrafter;2024-03;FunC;Minor;Resolved;Suggest indicating relationships between token variables in TL-B scheme for better clarity.;Best Practices;Documentation
XTON Core;Softstack.io;2024-03;FunC and Solidity;Medium;Acknowledged;Partial execution of transactions due to premature token deduction without ensuring transaction success;Common Errors;Carry-Value Pattern
XTON Core;Softstack.io;2024-03;FunC and Solidity;Medium;Acknowledged;Inability to recover ETH in recoverAnyTokens function;Common Errors;Sending Messages from Loops
XTON Core;Softstack.io;2024-03;FunC and Solidity;Medium;Acknowledged;Precision loss in claimableTokens function due to division before multiplication;Common Errors;Logical Errors
XTON Core;Softstack.io;2024-03;FunC and Solidity;Minor;Acknowledged;Lack of input validation for _tg_address in depositFor function;Contract Design;Input Data Processing
XTON Core;Softstack.io;2024-03;FunC and Solidity;Informational;Acknowledged;Inconsistent Solidity pragma directives across contracts;Best Practices;Compliance with Standards
TRC404;TonBit;2024-04;FunC;Medium;Fixed;Incorrect Calculation of fwd_fee in `common_message.fc`.;Common Errors;Logical Errors
TRC404;TonBit;2024-04;FunC;Major;Acknowledged;Centralization risk in `trc404_master.fc`: Admin can mint unlimited Jetton tokens.;Contract Design;Contract Design and Centralization
TRC404;TonBit;2024-04;FunC;Minor;Fixed;Conflict with Jetton Standard in `trc404_master.fc` and `trc404_wallet.fc`.;Best Practices;Compliance with Standards
TRC404;TonBit;2024-04;FunC;Minor;Acknowledged;NFT Content Error in `trc404_nftCollection.fc`: Incorrect return of `individual_nft_content`.;Common Errors;Restrictions on Data Recording
TRC404;TonBit;2024-04;FunC;Critical;Fixed;Jetton Balance Calculation Error in `trc404_wallet.fc`.;Common Errors;Logical Errors
TRC404;TonBit;2024-04;FunC;Major;Partially Fixed;No Handling of Bounced Messages in `trc404_wallet.fc`.;Common Errors;Bounced Message Handlers
TRC404;TonBit;2024-04;FunC;Medium;Fixed;Incorrect Gas Calculations in `trc404_wallet.fc`.;Gas Control;Moderate Handling of Gas
TRC404;TonBit;2024-04;FunC;Medium;Fixed;Ignored Gas Fee in `trc404_wallet.fc`.;Gas Control;Moderate Handling of Gas
TRC404;TonBit;2024-04;FunC;Medium;Fixed;Manipulable NFT Level in `trc404_nftItem.fc`.;Random Number Generation in TON;Safe Randomness Generation
ThunderFinance;TonBit;2024-05;Tact;Medium;Fixed;Rewards for Users not Present in JettonMasterChef cannot be Extracted;Contract Design;Contract Design and Centralization
ThunderFinance;TonBit;2024-05;Tact;Informational;Fixed;Duplicate Code in JettonMasterChef;Common Errors;Logical Errors
ThunderFinance;TonBit;2024-05;Tact;Informational;Fixed;Unused receive() function in JettonMasterChef;Common Errors;Logical Errors
ThunderFinance;TonBit;2024-05;Tact;Minor;Fixed;Unused Field thunderMintJettonWallet in Messages;Common Errors;Logical Errors
ThunderFinance;TonBit;2024-05;Tact;Informational;Fixed;Message Repeat Definition in JettonWallet and Messages;Common Errors;Logical Errors
ThunderFinance;TonBit;2024-05;Tact;Critical;Fixed;Logic Flaw in LP Supply Adjustment in TraitMasterChef;Common Errors;Logical Errors
ThunderFinance;TonBit;2024-05;Tact;Minor;Fixed;Unchecked Start and End Times in TraitMasterChef;Contract Design;Input Data Processing
ThunderFinance;TonBit;2024-05;Tact;Medium;Fixed;Maliciously Initialisable Contracts in TonMasterChef;Contract Design;Authorization Checks
ThunderFinance;TonBit;2024-05;Tact;Medium;Fixed;Uncalculated Gas and Unprocessed Bounce in MasterChef Contracts;Gas Control;Moderate Handling of Gas
ThunderFinance;TonBit;2024-05;Tact;Minor;Fixed;Inconsistent Handling of Contracts for Return in TonMasterChef;Contract Design;Partial Execution of Transactions
ThunderFinance;TonBit;2024-05;Tact;Minor;Fixed;Mismatch of Judgement Conditions in MasterChef Contracts;Common Errors;Logical Errors
ThunderFinance;TonBit;2024-05;Tact;Minor;Fixed;Redundant Field createdAt in MasterChef Contracts;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Medium;Fixed;Compensation Mechanisms May Introduce Centralization Risks;Contract Design;Contract Design and Centralization
Tradoor;TonBit;2024-05;Tact;Major;Fixed;The protocolTradingFee Can't Be Withdrawn;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Major;Fixed;Never Updated Variable unrealizedPnl in GlobalLPPosition;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Major;Fixed;The Calculation Error when Updating Unrealized Profit and Loss;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Major;Fixed;The RrevPremiumRate Does Not Match With Token Type;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Major;Fixed;Update Global Liquidity Using Wrong Variable;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Medium;Fixed;The Variable Clamped Funding Rate Delt Is Not Used;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Medium;Fixed;Bonus Calculation Formula Errors And Discrepancies;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Minor;Fixed;Meaningless If Statement;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Minor;Fixed;Redundant Code;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Minor;Fixed;Calculation Without Adding Funding Fee;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Minor;Fixed;Returns Incorrect Check Information;Common Errors;Logical Errors
Tradoor;TonBit;2024-05;Tact;Informational;Fixed;Variable That Can Not Be Updated;Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Major;Mitigated;Function update_full_config_process() and Debug Code Gives Excessive Power to the Admin;Contract Design;Authorization Checks
EVAA;Quantstamp;2024-06;FunC;Medium;Fixed;Risk of Uncaught Unexpected Errors on Multi-Contract Flows with No Rollback of Latest State Updates Can Lead to Inconsistent State Storages or Funds Locked;Contract Design;Message Generation and Handling
EVAA;Quantstamp;2024-06;FunC;Medium;Fixed;Missing Input Validations;Contract Design;Input Data Processing
EVAA;Quantstamp;2024-06;FunC;Medium;Acknowledged;Possible Unfair Race Conditions Between Borrowers and Liquidators when the System Is Activated Again;Asynchronous Execution;Key Considerations
EVAA;Quantstamp;2024-06;FunC;Medium;Acknowledged;Users with Liquidatable Positions Might Be Blocked From Repaying;Contract Design;Authorization Checks
EVAA;Quantstamp;2024-06;FunC;Medium;Fixed;Incorrect Amount Returned by calculate_maximum_withdraw_amount();Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Minor;Fixed;[False Positive];Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Minor;Fixed;Incorrect Message Mode Lets Anyone Drain Available Native Tokens From Any User Contract;Contract Design;Input Data Processing
EVAA;Quantstamp;2024-06;FunC;Minor;Fixed;Event Management Could Be Improved;Best Practices;Documentation
EVAA;Quantstamp;2024-06;FunC;Minor;Fixed;Suggestion to Add Invariant Checks to Fail if Unexpected Edge Cases Happen;Best Practices;Documentation
EVAA;Quantstamp;2024-06;FunC;Minor;Fixed;Unclear Usage of Variable dust;Best Practices;Magic Numbers-Flags-and Constants
EVAA;Quantstamp;2024-06;FunC;Informational;Acknowledged;Concurrent Operations Exposed to Race Conditions;Asynchronous Execution;Key Considerations
EVAA;Quantstamp;2024-06;FunC;Informational;Fixed;Any Address Can Lock for a Short Period the User Contract of Another User by Supplying a Minimum Amount on Its Behalf;Contract Design;Authorization Checks
EVAA;Quantstamp;2024-06;FunC;Informational;Fixed;Recommended Usage of end_parse();Common Errors;Parsing and Serialization
EVAA;Quantstamp;2024-06;FunC;Informational;Acknowledged;Getters Do Not Return Information About the Validity of prices_packed;Best Practices;Documentation
EVAA;Quantstamp;2024-06;FunC;Informational;Fixed;Unclear Fee Management;Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Informational;Acknowledged;General Risks Related to Using Price Oracles;Contract Design;Contract Design and Centralization
EVAA;Quantstamp;2024-06;FunC;Informational;Fixed;Mismatch Between Comments in Liquidation and Supply Functions;Best Practices;Documentation
EVAA;Quantstamp;2024-06;FunC;Undetermined;Acknowledged;Impact of Deprecating Assets;Contract Design;Contract Design and Centralization
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;Each Muldiv Operation Could Explicitly Force a Round-up or Round-Down Based on the Context to Make the Behavior of the Code More Explicit and Controlled;Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;Usage of impure Specifier;Possible Errors in FunC;Modifying Variables
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;Supply and Borrow Rates Might Be Outdated in Multiple Situations;Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;Missing Config Validation After Code Upgrade;Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;Production Readiness of the Codebase;Best Practices;Code Review
EVAA;Quantstamp;2024-06;FunC;Undetermined;Acknowledged;Liquidators Are Incentivized to Perform More Smaller Liquidations to Get More Collateral Rewards;Contract Design;Contract Design and Centralization
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;[Self-Identified] Tracking Indexes Calculated Based on New Total Supply and Borrow;Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;[Self-Identified] Repayments Can Be Blocked Due to the Current Max Cap Check;Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;[Self-Identified] Global Tracking Indexes Not Updated when Updating Tracking Speed Config Parameters;Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;[Self-Identified] Insufficient Validations of Messages Received From user.sc;Contract Design;Input Data Processing
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;[Self-Identified] Incorrect Message Body Parsed when Dealing with Reverted Operations;Common Errors;Parsing and Serialization
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;[Self-Identified] Adding New Tokens Reverts Due to Incorrect Sequence of Operations;Common Errors;Logical Errors
EVAA;Quantstamp;2024-06;FunC;Undetermined;Fixed;[Self-Identified] Supply Cap Check Can Be Bypassed;Asynchronous Execution;Key Considerations
Aqua Protocol;Beosin;2024-07;FunC;Major;Fixed;The on_bounce function is poorly designed leading to residual data in ctx::redeem_data if redeem_tick messages fail.;Contract Design;Partial Execution of Transactions
Aqua Protocol;Beosin;2024-07;FunC;Medium;Fixed;Incorrect asset_address import location in redeem_tick function causing mismatched asset data;Common Errors;Parsing and Serialization
Aqua Protocol;Beosin;2024-07;FunC;Minor;Fixed;The mint function lacks permission checking allowing unauthorized token minting;Contract Design;Authorization Checks
Aqua Protocol;Beosin;2024-07;FunC;Informational;Fixed;Error message inconsistency in wallet_balance handling causing confusion.;Best Practices;Documentation
Aqua Protocol;Beosin;2024-07;FunC;Informational;Fixed;Redundant code in withdraw_request function double-counting wallet_address.;Best Practices;Documentation
Storm Trade;Quantstamp;2024-07;FunC;Minor;Fixed;Race Condition in Bounce Messages Handling Lead to Overwritten Balances;Asynchronous Execution;Key Considerations
Storm Trade;Quantstamp;2024-07;FunC;Minor;Fixed;LP Token Rate Missing Update on Bounce;Common Errors;Bounced Message Handlers
Storm Trade;Quantstamp;2024-07;FunC;Minor;Fixed;Double Reserve in vault Can Lead to Transaction Failure;Common Errors;Logical Errors
Storm Trade;Quantstamp;2024-07;FunC;Informational;Mitigated;Missing Input Validation;Contract Design;Input Data Processing
Storm Trade;Quantstamp;2024-07;FunC;Informational;Acknowledged;Follow best practices such as removing unused variables and ensuring consistent code practices. ;Best Practices;Compliance with Standards
Storm Trade;Quantstamp;2024-07;FunC;Informational;Mitigated;Re-Declaration of Existing Constants and Errors;Best Practices;Code Review
Storm Trade;Quantstamp;2024-07;FunC;Medium;Mitigated;Attackers Can Profit by Creating Repeated Long or Short Positions Using Known Oracle Prices;Common Errors;Public Nature of Blockchain
Storm Trade;Quantstamp;2024-07;FunC;Medium;Fixed;Replay Attack to Close or Open Market Unexpectedly;Common Errors;Replay Attack
Storm Trade;Quantstamp;2024-07;FunC;Medium;Fixed;No Support for Withdrawing Native Buffer;Common Errors;Logical Errors
Storm Trade;Quantstamp;2024-07;FunC;Minor;Fixed;Executor and Referral Rewards Can Be Lost After Vault Updates Due to a Race Condition;Asynchronous Execution;Key Considerations
Bool Network;TonBit;2024-07;FunC;Critical;Fixed;Emit Forged Message: An attacker can forge messages to manipulate assets by exploiting anchor registration.;Contract Design;Authorization Checks
Bool Network;TonBit;2024-07;FunC;Minor;Fixed;Redundant Exception Throwing: The handle_emit_event() function has redundant topic value checks.;Contract Design;Logical Errors
Bool Network;TonBit;2024-07;FunC;Minor;Fixed;Lack of Events Emit: The contract lacks appropriate events for monitoring sensitive operations, making it difficult to track actions.;Contract Design;Contract Design and Centralization
Bool Network;TonBit;2024-07;FunC;Minor;Fixed;The enable_global_path function Lacks Permission Validation: Anyone can add a new chain_id, consuming storage and increasing gas costs.;Contract Design;Authorization Checks
Bool Network;TonBit;2024-07;FunC;Medium;Fixed;Lack of Native Token Swap Limit Check: No check on the number of tokens for native token swaps.;Contract Design;Input Data Processing
Bool Network;TonBit;2024-07;FunC;Minor;Fixed;Incorrect Exception Throwing: Exception throwing is misplaced in integer operations.;Contract Design;Logical Errors
Bool Network;TonBit;2024-07;FunC;Minor;Fixed;Error Code Not Used: Unused error codes and misuse of error codes in call_back_from_swap_consumer.;Best Practices;Code Review
Bool Network;TonBit;2024-07;FunC;Minor;Fixed;Calculating Gas Consumption without Checking for Sufficiency: Gas consumption calculations do not account for insufficient gas.;Contract Design;Partial Execution of Transactions
Bool Network;TonBit;2024-07;FunC;Major;Fixed;Incorrect Permission of Setting Rates: Lack of permission checks allows anyone to modify pool rates.;Contract Design;Authorization Checks
Bool Network;TonBit;2024-07;FunC;Major;Fixed;Taking Out More Liquidity than Reserve May Result in A Loss of Assets: Removing liquidity greater than the reserve can cause asset desynchronization.;Contract Design;Logical Errors
Bool Network;TonBit;2024-07;FunC;Medium;Fixed;Changing Token Types Causes Asset Errors: Changing token types without updating position information can lead to fund loss.;Contract Design;Logical Errors
Bool Network;TonBit;2024-07;FunC;Medium;Fixed;Incorrect Judgement: Adjusted amount and fee are incorrectly judged in the handle_swap_out function.;Contract Design;Logical Errors
MiniTon;TonBit;2024-07;Tact;Medium;Fixed;Continuing to Execute Trades when Commission Collection Fails.;Contract Design;Contract Design and Centralization
MiniTon;TonBit;2024-07;Tact;Medium;Partially Fixed;Centralization Risk: Contract owner can withdraw all assets.;Contract Design;Contract Design and Centralization
MiniTon;TonBit;2024-07;Tact;Minor;Acknowledged;Failure to Judge Gas Charges in Advance.;Gas Control;Moderate Handling of Gas
MiniTon;TonBit;2024-07;Tact;Minor;Fixed;Lack of Events Emit for sensitive operations.;Best Practices;Documentation
MiniTon;TonBit;2024-07;Tact;Minor;Fixed;Meaningless Variable: Unused variable in VoteMsg function.;Common Errors;Logical Errors
MiniTon;TonBit;2024-07;Tact;Informational;Fixed;Code Optimisation: Simplifying if statements for better readability.;Best Practices;Code Review
Catizen;TonBit;2024-08;Tact;Informational;Acknowledged;Lack of Permission Check and Parameter Validation in SignAction1 and SignAction2 functions;Contract Design;Authorization Checks
Catizen;TonBit;2024-08;Tact;Informational;Acknowledged;"Unused variable `ctx: Context = context();` in SignAction1 and SignAction2 functions";Common Errors;Logical Errors
Catizen Jetton;TonBit;2024-08;FunC;Medium;Fixed;Centralization risk identified in the smart contract. The admin can mint any amount of jetton tokens through mint message.;Contract Design;Contract Design and Centralization
One Click Sender;TonBit;2024-08;FunC;Major;Fixed;Excess Fee Issue in Message Handling: When handling op::send_ton messages, the contract sends the full cost instead of the modified_cost, resulting in excess fees.;Contract Design;Authorization Checks
One Click Sender;TonBit;2024-08;FunC;Major;Fixed;Missing Parameter Validation: Parameters like has_referral and referral are not validated, allowing users to manipulate them and disrupt the contract's logic.;Contract Design;Input Data Processing
Onton Finance;Beosin;2024-09;FunC;Major;Fixed;Failure of minimum liquidity setting in pool could lead to liquidity draining zero price manipulation and division by zero errors.;Common Errors;Logical Errors
Onton Finance;Beosin;2024-09;FunC;Major;Fixed;Incorrect query function message pattern allows anyone to retrieve the entire balance of the contract.;Common Errors;Logical Errors
Onton Finance;Beosin;2024-09;FunC;Major;Fixed;Mismatched message names causing message processing failure between contracts.;Contract Design;External Message Handling
Onton Finance;Beosin;2024-09;FunC;Medium;Fixed;Lack of rebound mechanism leading to user loss when message processing fails.;Contract Design;Partial Execution of Transactions
Onton Finance;Beosin;2024-09;FunC;Medium;Fixed;Loss when adding liquidity for the first time due to sending all liquidity to a black hole address.;Common Errors;Logical Errors
Onton Finance;Beosin;2024-09;FunC;Medium;Fixed;Lack of proportional adding interface when adding liquidity leading to user losses.;Common Errors;Logical Errors
Onton Finance;Beosin;2024-09;FunC;Minor;Fixed;Incorrect judgment conditions during swap logic leading to incorrect validation.;Common Errors;Logical Errors
Onton Finance;Beosin;2024-09;FunC;Minor;Fixed;Missing restrictions in swap_token function allowing swaps with insufficient liquidity;Common Errors;Logical Errors
Onton Finance;Beosin;2024-09;FunC;Minor;Fixed;On-chain query function calculation error for LP token amounts.;Contract Design;Logical Errors
Onton Finance;Beosin;2024-09;FunC;Minor;Fixed;Admin accounts cannot use query functions due to incorrect execution order.;Contract Design;Authorization Checks
Tonny;Beosin;2024-09;FunC;Minor;Fixed;Centralized risk: The contract owner retains the ability to mint tokens at any time which could lead to excessive issuance of tokens depleting the trading pool.;Contract Design;Contract Design and Centralization
Tonny;Beosin;2024-09;FunC;Informational;Acknowledged;The readability of the error message is low: Numbers are used to represent error messages making it difficult for users to understand their purpose;Best Practices;Documentation
Aqua Protocol;BugBlow;2024-09;FunC;Medium;Fixed;DoS via vaults: Unlimited storage in vaults can overwhelm the contract if compromised leading to resource exhaustion.;Gas Control;Moderate Handling of Gas
Aqua Protocol;BugBlow;2024-09;FunC;Medium;Fixed;Borrow rate manipulation: `now()` timestamp can be manipulated by miners and lack of negative growth check can alter borrowing rates.;Common Errors;Logical Errors
Aqua Protocol;BugBlow;2024-09;FunC;Minor;Fixed;Error confusion: Two distinct errors share the same error code leading to potential incorrect error handling.;Common Errors;Exit Codes
Aqua Protocol;BugBlow;2024-09;FunC;Critical;Not Fixed;Price manipulation with a Replay Attack: Attacker can copy past Oracle prices data and send it repeatedly within 120 seconds tricking the contract into using stale prices.;Common Errors;Replay Attack
Aqua Protocol;BugBlow;2024-09;FunC;Major;Not Fixed;Single point of trust: Contract fully trusts data from a single Oracle source making it vulnerable if the Oracle is compromised or malicious.;Contract Design;Contract Design and Centralization
Aqua Protocol;BugBlow;2024-09;FunC;Critical;Fixed;An attacker can replay stale Oracle data within a 120-second window manipulating collateral prices and minting excessive AquaUSD.;Common Errors;Replay Attack
Aqua Protocol;BugBlow;2024-09;FunC;Major;Acknowledged;The contract relies on a single Oracle making it vulnerable to manipulation if the Oracle is compromised.;Contract Design;Contract Design and Centralization
Aqua Protocol;BugBlow;2024-09;FunC;Medium;Fixed;Unlimited vault storage can lead to storage exhaustion and contract freezing.;Gas Control;Moderate Handling of Gas
Aqua Protocol;BugBlow;2024-09;FunC;Medium;Fixed;The borrow rate calculation is vulnerable to timestamp manipulation by miners.;Common Errors;Logical Errors
Aqua Protocol;BugBlow;2024-09;FunC;Minor;Fixed;Two distinct errors share the same error code leading to potential confusion.;Common Errors;Exit Codes
Grishmans Kombat;HashEx Blockchain Security;2024-09;FunC;Critical;Resolved;The claim() function does not impose any limits or validations on the amount a user can claim, potentially depleting the Vault's Jetton balance.;Contract Design;Authorization Checks
Grishmans Kombat;HashEx Blockchain Security;2024-09;FunC;Major;Resolved;The code lacks accompanying tests, and the token interaction scripts are outdated.;Best Practices;Documentation
Grishmans Kombat;HashEx Blockchain Security;2024-09;FunC;Minor;Resolved;Several variables are declared but never used in the contract.;Best Practices;Documentation
Grishmans Kombat;HashEx Blockchain Security;2024-09;FunC;Minor;Resolved;The load_data() function is declared impure but does not modify the state.;Best Practices;Documentation
Grishmans Kombat;HashEx Blockchain Security;2024-09;FunC;Minor;Resolved;The jetton_wallet_address variable is set on every transfer notification unnecessarily.;Best Practices;Documentation
Grishmans Kombat;HashEx Blockchain Security;2024-09;FunC;Minor;Resolved;The recv_internal() function makes an unnecessary call to save_data() in the owner_withdraw_jetton handler.;Best Practices;Code Review
Grishmans Kombat;HashEx Blockchain Security;2024-09;FunC;Informational;Acknowledged;Updating the Merkle root invalidates unclaimed airdrops from the previous tree.;Common Errors;Logical Errors
Grishmans Kombat;HashEx Blockchain Security;2024-09;FunC;Informational;Resolved;The owner_withdraw_jetton handler duplicates code that could be replaced by the send_tokens() function.;Best Practices;Compliance with Standards
Grishmans Kombat;HashEx Blockchain Security;2024-09;FunC;Major;Resolved;The Vault sets jetton_wallet_address without verifying the sender's authenticity, allowing potential hijacking.;Contract Design;Authorization Checks
Rhino.fi;Quantstamp;2024-09;FunC;Minor;Fixed;Potential for Lost Funds in Jetton Deposit due to missing forward_payload;Common Errors;Logical Errors
Rhino.fi;Quantstamp;2024-09;FunC;Informational;Acknowledged;Bounceable Message Sent Despite No Processing of Such in send_jetton();Common Errors;Bounced Message Handlers
Rhino.fi;Quantstamp;2024-09;FunC;Informational;Fixed;Missing Input Validation in upgrade and bridge_contract functions;Contract Design;Input Data Processing
Rhino.fi;Quantstamp;2024-09;FunC;Informational;Acknowledged;Needed Support for No-Ops in authorized address operations;Contract Design;Authorization Checks
Rhino.fi;Quantstamp;2024-09;FunC;Informational;Fixed;Critical Role Transfer Not Following Two-Step Pattern in transfer_ownership();Contract Design;Authorization Checks
Rhino.fi;Quantstamp;2024-09;FunC;Informational;Fixed;Stylistic Improvements needed in remove_dict_address_key_if_exists(), authorized_dict/authorized_list naming, and error handling;Best Practices;Code Review
SecondLive-Ton;TonBit;2024-09;FunC;Major;Acknowledged;The admin has the ability to mint change the admin call call_to() and upgrade the contract which introduces centralization risks. Code Location: contracts/jetton-minter.fc#227-234;Contract Design;Contract Design and Centralization
